T / K	p / MPa	u / kJ/kg	h / kJ/kg	s / kJ/kgK	v / m3/kg	cp / kJ/kgK	cv / kJ/kgK
2.95244308e+02	2.66046588e+03	2.40520843e+06	2.54127447e+06	8.61974820e+03	5.11436907e+01	1.90813833e+03	1.43765787e+03
2.95618619e+02	2.72177244e+03	2.40571832e+06	2.54195394e+06	8.61154889e+03	5.00540061e+01	1.90857694e+03	1.43799545e+03
2.95992929e+02	2.78430981e+03	2.40622807e+06	2.54263321e+06	8.60337639e+03	4.89906482e+01	1.90901861e+03	1.43833516e+03
2.96367239e+02	2.84809875e+03	2.40673768e+06	2.54331230e+06	8.59523057e+03	4.79529115e+01	1.90946331e+03	1.43867699e+03
2.96741550e+02	2.91316029e+03	2.40724714e+06	2.54399121e+06	8.58711131e+03	4.69401113e+01	1.90991103e+03	1.43902092e+03
2.97115860e+02	2.97951577e+03	2.40775645e+06	2.54466992e+06	8.57901851e+03	4.59515830e+01	1.91036175e+03	1.43936691e+03
2.97490170e+02	3.04718677e+03	2.40826562e+06	2.54534844e+06	8.57095205e+03	4.49866811e+01	1.91081543e+03	1.43971494e+03
2.97864480e+02	3.11619518e+03	2.40877464e+06	2.54602677e+06	8.56291182e+03	4.40447791e+01	1.91127206e+03	1.44006500e+03
2.98238791e+02	3.18656315e+03	2.40928351e+06	2.54670490e+06	8.55489769e+03	4.31252686e+01	1.91173163e+03	1.44041705e+03
2.98613101e+02	3.25831316e+03	2.40979223e+06	2.54738284e+06	8.54690957e+03	4.22275586e+01	1.91219410e+03	1.44077108e+03
2.98987411e+02	3.33146793e+03	2.41030080e+06	2.54806058e+06	8.53894734e+03	4.13510755e+01	1.91265946e+03	1.44112706e+03
2.99361722e+02	3.40605051e+03	2.41080921e+06	2.54873812e+06	8.53101088e+03	4.04952619e+01	1.91312769e+03	1.44148496e+03
2.99736032e+02	3.48208423e+03	2.41131748e+06	2.54941546e+06	8.52310009e+03	3.96595765e+01	1.91359877e+03	1.44184478e+03
3.00110342e+02	3.55959272e+03	2.41182558e+06	2.55009260e+06	8.51521486e+03	3.88434937e+01	1.91407267e+03	1.44220647e+03
3.00484653e+02	3.63859991e+03	2.41233353e+06	2.55076953e+06	8.50735507e+03	3.80465025e+01	1.91454938e+03	1.44257003e+03
3.00858963e+02	3.71913004e+03	2.41284133e+06	2.55144626e+06	8.49952063e+03	3.72681069e+01	1.91502889e+03	1.44293542e+03
3.01233273e+02	3.80120764e+03	2.41334896e+06	2.55212278e+06	8.49171141e+03	3.65078247e+01	1.91551116e+03	1.44330264e+03
3.01607584e+02	3.88485757e+03	2.41385644e+06	2.55279909e+06	8.48392732e+03	3.57651875e+01	1.91599619e+03	1.44367164e+03
3.01981894e+02	3.97010498e+03	2.41436375e+06	2.55347520e+06	8.47616824e+03	3.50397402e+01	1.91648395e+03	1.44404243e+03
3.02356204e+02	4.05697534e+03	2.41487090e+06	2.55415109e+06	8.46843406e+03	3.43310404e+01	1.91697442e+03	1.44441496e+03
3.02730515e+02	4.14549444e+03	2.41537789e+06	2.55482676e+06	8.46072469e+03	3.36386583e+01	1.91746760e+03	1.44478923e+03
3.03104825e+02	4.23568839e+03	2.41588472e+06	2.55550222e+06	8.45304002e+03	3.29621761e+01	1.91796346e+03	1.44516521e+03
3.03479135e+02	4.32758361e+03	2.41639137e+06	2.55617746e+06	8.44537994e+03	3.23011878e+01	1.91846199e+03	1.44554289e+03
3.03853445e+02	4.42120684e+03	2.41689787e+06	2.55685249e+06	8.43774434e+03	3.16552986e+01	1.91896317e+03	1.44592224e+03
3.04227756e+02	4.51658517e+03	2.41740419e+06	2.55752729e+06	8.43013313e+03	3.10241248e+01	1.91946698e+03	1.44630324e+03
3.04602066e+02	4.61374600e+03	2.41791035e+06	2.55820187e+06	8.42254619e+03	3.04072934e+01	1.91997342e+03	1.44668588e+03
3.04976376e+02	4.71271706e+03	2.41841633e+06	2.55887623e+06	8.41498343e+03	2.98044418e+01	1.92048246e+03	1.44707014e+03
3.05350687e+02	4.81352642e+03	2.41892214e+06	2.55955036e+06	8.40744474e+03	2.92152172e+01	1.92099411e+03	1.44745599e+03
3.05724997e+02	4.91620248e+03	2.41942778e+06	2.56022427e+06	8.39993003e+03	2.86392769e+01	1.92150833e+03	1.44784344e+03
3.06099307e+02	5.02077398e+03	2.41993325e+06	2.56089794e+06	8.39243918e+03	2.80762874e+01	1.92202512e+03	1.44823245e+03
3.06473618e+02	5.12727001e+03	2.42043854e+06	2.56157139e+06	8.38497211e+03	2.75259244e+01	1.92254448e+03	1.44862301e+03
3.06847928e+02	5.23572000e+03	2.42094365e+06	2.56224460e+06	8.37752869e+03	2.69878726e+01	1.92306638e+03	1.44901511e+03
3.07222238e+02	5.34615371e+03	2.42144859e+06	2.56291757e+06	8.37010885e+03	2.64618252e+01	1.92359082e+03	1.44940872e+03
3.07596549e+02	5.45860128e+03	2.42195334e+06	2.56359031e+06	8.36271248e+03	2.59474839e+01	1.92411779e+03	1.44980385e+03
3.07970859e+02	5.57309316e+03	2.42245792e+06	2.56426281e+06	8.35533947e+03	2.54445585e+01	1.92464728e+03	1.45020047e+03
3.08345169e+02	5.68966020e+03	2.42296231e+06	2.56493508e+06	8.34798974e+03	2.49527665e+01	1.92517929e+03	1.45059857e+03
3.08719479e+02	5.80833357e+03	2.42346652e+06	2.56560710e+06	8.34066317e+03	2.44718335e+01	1.92571380e+03	1.45099814e+03
3.09093790e+02	5.92914482e+03	2.42397055e+06	2.56627887e+06	8.33335968e+03	2.40014920e+01	1.92625081e+03	1.45139916e+03
3.09468100e+02	6.05212586e+03	2.42447439e+06	2.56695040e+06	8.32607917e+03	2.35414820e+01	1.92679031e+03	1.45180163e+03
3.09842410e+02	6.17730894e+03	2.42497804e+06	2.56762169e+06	8.31882154e+03	2.30915506e+01	1.92733231e+03	1.45220553e+03
3.10216721e+02	6.30472672e+03	2.42548151e+06	2.56829272e+06	8.31158669e+03	2.26514514e+01	1.92787679e+03	1.45261085e+03
3.10591031e+02	6.43441219e+03	2.42598478e+06	2.56896350e+06	8.30437453e+03	2.22209449e+01	1.92842375e+03	1.45301759e+03
3.10965341e+02	6.56639873e+03	2.42648787e+06	2.56963403e+06	8.29718496e+03	2.17997977e+01	1.92897319e+03	1.45342574e+03
3.11339652e+02	6.70072009e+03	2.42699076e+06	2.57030431e+06	8.29001789e+03	2.13877830e+01	1.92952511e+03	1.45383528e+03
3.11713962e+02	6.83741041e+03	2.42749346e+06	2.57097432e+06	8.28287322e+03	2.09846797e+01	1.93007951e+03	1.45424622e+03
3.12088272e+02	6.97650419e+03	2.42799596e+06	2.57164408e+06	8.27575086e+03	2.05902727e+01	1.93063639e+03	1.45465853e+03
3.12462583e+02	7.11803633e+03	2.42849826e+06	2.57231358e+06	8.26865071e+03	2.02043526e+01	1.93119574e+03	1.45507223e+03
3.12836893e+02	7.26204210e+03	2.42900037e+06	2.57298281e+06	8.26157269e+03	1.98267156e+01	1.93175757e+03	1.45548730e+03
3.13211203e+02	7.40855717e+03	2.42950228e+06	2.57365178e+06	8.25451669e+03	1.94571631e+01	1.93232189e+03	1.45590374e+03
3.13585514e+02	7.55761758e+03	2.43000398e+06	2.57432048e+06	8.24748264e+03	1.90955020e+01	1.93288870e+03	1.45632154e+03
3.13959824e+02	7.70925979e+03	2.43050549e+06	2.57498892e+06	8.24047042e+03	1.87415440e+01	1.93345799e+03	1.45674070e+03
3.14334134e+02	7.86352065e+03	2.43100679e+06	2.57565708e+06	8.23347996e+03	1.83951058e+01	1.93402978e+03	1.45716122e+03
3.14708444e+02	8.02043738e+03	2.43150788e+06	2.57632497e+06	8.22651116e+03	1.80560089e+01	1.93460408e+03	1.45758310e+03
3.15082755e+02	8.18004763e+03	2.43200877e+06	2.57699258e+06	8.21956393e+03	1.77240796e+01	1.93518088e+03	1.45800634e+03
3.15457065e+02	8.34238945e+03	2.43250945e+06	2.57765992e+06	8.21263819e+03	1.73991486e+01	1.93576020e+03	1.45843093e+03
3.15831375e+02	8.50750127e+03	2.43300992e+06	2.57832698e+06	8.20573383e+03	1.70810509e+01	1.93634204e+03	1.45885688e+03
3.16205686e+02	8.67542197e+03	2.43351018e+06	2.57899376e+06	8.19885078e+03	1.67696258e+01	1.93692642e+03	1.45928418e+03
3.16579996e+02	8.84619081e+03	2.43401022e+06	2.57966025e+06	8.19198893e+03	1.64647170e+01	1.93751335e+03	1.45971284e+03
3.16954306e+02	9.01984746e+03	2.43451005e+06	2.58032646e+06	8.18514821e+03	1.61661719e+01	1.93810283e+03	1.46014287e+03
3.17328617e+02	9.19643203e+03	2.43500967e+06	2.58099238e+06	8.17832853e+03	1.58738420e+01	1.93869488e+03	1.46057426e+03
3.17702927e+02	9.37598503e+03	2.43550907e+06	2.58165801e+06	8.17152979e+03	1.55875826e+01	1.93928951e+03	1.46100701e+03
3.18077237e+02	9.55854740e+03	2.43600824e+06	2.58232334e+06	8.16475192e+03	1.53072527e+01	1.93988674e+03	1.46144115e+03
3.18451548e+02	9.74416049e+03	2.43650720e+06	2.58298839e+06	8.15799481e+03	1.50327148e+01	1.94048657e+03	1.46187666e+03
3.18825858e+02	9.93286609e+03	2.43700594e+06	2.58365314e+06	8.15125839e+03	1.47638351e+01	1.94108904e+03	1.46231355e+03
3.19200168e+02	1.01247064e+04	2.43750445e+06	2.58431758e+06	8.14454258e+03	1.45004829e+01	1.94169414e+03	1.46275184e+03
3.19574478e+02	1.03197241e+04	2.43800274e+06	2.58498173e+06	8.13784727e+03	1.42425312e+01	1.94230191e+03	1.46319153e+03
3.19948789e+02	1.05179623e+04	2.43850080e+06	2.58564558e+06	8.13117240e+03	1.39898559e+01	1.94291235e+03	1.46363262e+03
3.20323099e+02	1.07194644e+04	2.43899863e+06	2.58630912e+06	8.12451786e+03	1.37423363e+01	1.94352549e+03	1.46407513e+03
3.20697409e+02	1.09242744e+04	2.43949623e+06	2.58697235e+06	8.11788359e+03	1.34998544e+01	1.94414135e+03	1.46451907e+03
3.21071720e+02	1.11324367e+04	2.43999361e+06	2.58763527e+06	8.11126948e+03	1.32622955e+01	1.94475994e+03	1.46496444e+03
3.21446030e+02	1.13439962e+04	2.44049074e+06	2.58829788e+06	8.10467547e+03	1.30295475e+01	1.94538129e+03	1.46541126e+03
3.21820340e+02	1.15589981e+04	2.44098764e+06	2.58896018e+06	8.09810146e+03	1.28015014e+01	1.94600543e+03	1.46585954e+03
3.22194651e+02	1.17774882e+04	2.44148431e+06	2.58962215e+06	8.09154738e+03	1.25780507e+01	1.94663236e+03	1.46630929e+03
3.22568961e+02	1.19995127e+04	2.44198074e+06	2.59028381e+06	8.08501313e+03	1.23590916e+01	1.94726213e+03	1.46676053e+03
3.22943271e+02	1.22251181e+04	2.44247692e+06	2.59094515e+06	8.07849864e+03	1.21445229e+01	1.94789475e+03	1.46721326e+03
3.23317582e+02	1.24543516e+04	2.44297287e+06	2.59160616e+06	8.07200383e+03	1.19342459e+01	1.94853025e+03	1.46766751e+03
